Company,Specific Bean Origin,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin,price(100g)
Askinosie,Mababa,2016,68.0,U.S.A.,75.0,Trinitario,Tanzania,127500.0
Batch,"Dominican Republic, Batch 3",2016,65.0,U.S.A.,70.0,Blend,Domincan Republic,113750.0
Batch,Ecuador,2016,65.0,U.S.A.,65.0,Blend,Ecuador,105625.0
Belcolade,Costa Rica,2010,64.0,Belgium,55.0,Blend,Costa Rica,88000.0
Belcolade,Papua New Guinea,2010,64.0,Belgium,55.0,Blend,Papua New Guinea,88000.0
Belcolade,Peru,2010,64.0,Belgium,55.0,Blend,Peru,88000.0
Bernachon,Nature,2012,55.0,France,55.0,Blend,Other,75625.0
Beschle (Felchlin),Madagascar,2011,64.0,Switzerland,60.0,Trinitario,Madagascar,96000.0
Beschle (Felchlin),"Java, Grand Cru",2010,64.0,Switzerland,70.0,Blend,Indonesia,112000.0
Bittersweet Origins,"Bali, Singaraja",2010,65.0,U.S.A.,55.0,Blend,Indonesia,89375.0
Bittersweet Origins,Puerto Plata,2009,65.0,U.S.A.,70.0,Blend,Dominican Republic,113750.0
Bittersweet Origins,Sambirano,2009,65.0,U.S.A.,70.0,Trinitario,Madagascar,113750.0
Bittersweet Origins,Puerto Plata,2008,68.0,U.S.A.,75.0,Blend,Dominican Republic,127500.0
Bonnat,Surfin,2014,65.0,France,75.0,Blend,"Venez,Africa,Brasil,Peru,Mex",121875.0
Brasstown aka It's Chocolate,Conacado,2015,68.0,U.S.A.,75.0,Blend,Dominican Republic,127500.0
Brazen,Elvesia P.,2015,60.0,U.S.A.,60.0,Blend,Dominican Republic,90000.0
Brazen,Ambolikapkly P.,2015,60.0,U.S.A.,65.0,Blend,Madagascar,97500.0
Bright,Gran Couva,2014,68.0,Australia,55.0,Trinitario,Trinidad,93500.0
Bronx Grrl Chocolate,Dominican Republic,2013,68.0,U.S.A.,55.0,Blend,Dominican Republic,93500.0
Burnt Fork Bend,"Ecuador, Bob Bar",2014,60.0,U.S.A.,50.0,Blend,Ecuador,75000.0
Cacao Barry,Grand 'Anse,2016,65.0,France,70.0,"Trinitario, Criollo",Haiti,113750.0
Cacao Barry,Mexico,2007,66.0,France,60.0,Blend,Mexico,99000.0
Cacao Hunters,Sierra Nevada,2014,64.0,Colombia,70.0,Blend,Colombia,112000.0
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",2014,69.0,Colombia,55.0,Blend,Colombia,94875.0
Cacao Prieto,Dominican Republic,2011,66.0,U.S.A.,75.0,Blend,Dominican Republic,123750.0
Cacao Prieto,"Dominican Republic, rustic",2011,65.0,U.S.A.,65.0,Blend,Dominican Republic,105625.0
Cacaoyere (Ecuatoriana),Amazonia,2008,63.0,Ecuador,70.0,Forastero (Arriba),Ecuador,110250.0
Callebaut,Grenade,2008,60.0,Belgium,55.0,Trinitario,Grenada,82500.0
Caoni (Tulicorp),Manabi,2008,55.0,Ecuador,60.0,Forastero (Arriba),Ecuador,82500.0
Caoni (Tulicorp),Los Rios,2008,55.0,Ecuador,65.0,Forastero (Arriba),Ecuador,89375.0
Caoni (Tulicorp),Esmeraldas,2008,55.0,Ecuador,70.0,Forastero (Arriba),Ecuador,96250.0
Carlotta Chocolat,Arauca,2016,65.0,Colombia,60.0,Trinitario,Colombia,97500.0
Carlotta Chocolat,Tumaco,2016,65.0,Colombia,65.0,Trinitario,Colombia,105625.0
Carlotta Chocolat,Cordoba,2016,65.0,Colombia,65.0,Trinitario,Colombia,105625.0
Carlotta Chocolat,Huila,2016,65.0,Colombia,70.0,Trinitario,Colombia,113750.0
Carlotta Chocolat,Cesar,2016,65.0,Colombia,70.0,CCN51,Colombia,113750.0
Chchukululu (Tulicorp),Arriba,2010,55.0,Ecuador,55.0,Forastero (Arriba),Ecuador,75625.0
Chocolarder,Peru,2015,65.0,U.K.,50.0,Criollo,Peru,81250.0
Chocolarder,Peru + nibs,2015,65.0,U.K.,55.0,Criollo,Peru,89375.0
Chocola'te,Venezuela,2011,68.0,U.S.A.,75.0,Blend,Venezuela,127500.0
Chocolate Con Amor,Dominican Republic,2016,60.0,U.S.A.,60.0,Blend,Dominican Republic,90000.0
Chocolate Makers,"Congo, Gorilla bar",2015,68.0,Amsterdam,70.0,Forastero,Congo,119000.0
"Chocolate Tree, The",Maranon,2015,69.0,Scotland,75.0,Forastero (Nacional),Peru,129375.0
"Chocolate Tree, The",Peru,2012,68.0,Scotland,55.0,Criollo,Peru,93500.0
Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",2011,65.0,Canada,65.0,Blend,Mexico,105625.0
Chocovic,Kendari,2009,60.0,Spain,65.0,Blend,Other,97500.0
Chocovivo,Tabasco,2015,65.0,U.S.A.,50.0,Trinitario,Mexico,81250.0
Chokolat Elot (Girard),Guadeloupe,2013,42.0,Martinique,55.0,Blend,Martinique,57750.0
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",2011,68.0,Canada,75.0,Forastero (Nacional),Peru,127500.0
Chuao Chocolatier,Choroni,2009,61.0,U.S.A.,60.0,Criollo,Venezuela,91500.0
Coppeneur,"Ecuador, Puristique",2013,65.0,Germany,65.0,Forastero (Nacional),Ecuador,105625.0
Coppeneur,"Porcelana, Apotequil",2009,62.0,Germany,65.0,Criollo,Peru,100750.0
Cravve,"Bahia, batch a1213",2012,65.0,Australia,65.0,Trinitario,Brazil,105625.0
Cravve,"Namau Village, N. Taileva P., batch a2812",2012,67.0,Australia,65.0,Trinitario,Fiji,108875.0
Cravve,Vanuatu,2012,64.0,Australia,65.0,Trinitario,Vanuatu,104000.0
Danta,Los Ujuxtes,2011,60.0,Guatemala,70.0,Blend,Guatemala,105000.0
Danta,Las Acacias E.,2009,60.0,Guatemala,65.0,Criollo,Guatemala,97500.0
Davis,West Africa,2012,58.0,U.S.A.,65.0,Forastero,West Africa,94250.0
De Mendes,"Selvagem, Jari",2015,65.0,Brazil,70.0,Blend,Brazil,113750.0
Dean and Deluca (Belcolade),Madagascar,2007,66.0,U.S.A.,50.0,Trinitario,Madagascar,82500.0
Dean and Deluca (Belcolade),Costa Rica,2007,64.0,U.S.A.,60.0,Blend,Costa Rica,96000.0
Dean and Deluca (Belcolade),Ghana,2007,60.0,U.S.A.,60.0,Forastero,Ghana,90000.0
Dean and Deluca (Belcolade),Papua New Guinea,2007,64.0,U.S.A.,60.0,Blend,Papua New Guinea,96000.0
Dean and Deluca (Belcolade),Peru,2007,64.0,U.S.A.,60.0,Blend,Peru,96000.0
Debauve & Gallais (Michel Cluizel),Papua New Guinea,2009,64.0,France,60.0,Blend,Papua New Guinea,96000.0
Debauve & Gallais (Michel Cluizel),Venezuela,2008,66.0,France,75.0,Blend,Venezuela,123750.0
Domori,Granella,2007,60.0,Italy,65.0,Trinitario,Venezuela,97500.0
Duffy's,Dominican Republic,2011,65.0,U.K.,70.0,Blend,Dominican Republic,113750.0
Edelmond,Porcelana,2016,68.0,Germany,60.0,Criollo,Venezuela,102000.0
El Rey,"Rio Caribe, Cariaco",2009,60.5,Venezuela,55.0,Trinitario,Venezuela,83187.5
El Rey,"Carenero Superior, Bucare",2008,58.0,Venezuela,50.0,Criollo,Venezuela,72500.0
El Rey,"Carenero Superior, Mijao",2008,61.0,Venezuela,60.0,Criollo,Venezuela,91500.0
Emerald Estate,Emerald Estate,2013,60.0,St. Lucia,55.0,Blend,St. Lucia,82500.0
Escazu,Guapiles,2009,65.0,U.S.A.,40.0,Blend,Costa Rica,65000.0
Ethel's Artisan (Mars),"Peru, Madagascar",2011,55.0,U.S.A.,50.0,Blend,"Peru, Madagascar",68750.0
Ethel's Artisan (Mars),Trinidad,2011,55.0,U.S.A.,50.0,Trinitario,Trinidad,68750.0
Ethel's Artisan (Mars),Red Vanilla,2011,62.0,U.S.A.,55.0,Blend,Other,85250.0
Ethel's Artisan (Mars),"Venezuela, Trinidad",2011,62.0,U.S.A.,50.0,Blend,"Venezuela, Trinidad",77500.0
Felchlin,Grenada,2010,58.0,Switzerland,70.0,Trinitario,Grenada,101500.0
Felchlin,Supremo- SF,2006,62.0,Switzerland,40.0,Blend,Other,62000.0
Felchlin,"Madagascar, Grand Cru",2006,64.0,Switzerland,60.0,Criollo,Madagascar,96000.0
Felchlin,Maracaibo Clasificado,2006,65.0,Switzerland,60.0,Criollo,Venezuela,97500.0
Felchlin,"Alto Beni, Cru Savage",2006,68.0,Switzerland,80.0,Criollo (Wild),Bolivia,136000.0
Finca,Puerto Rico,2014,65.0,U.S.A.,45.0,Blend,Puerto Rico,73125.0
Fossa,"Kokoa Kamili Coop, Kilombero",2016,67.0,Singapore,75.0,Trinitario,Tanzania,125625.0
Franceschi,Sur del Lago,2012,60.0,Venezuela,70.0,Blend,Venezuela,105000.0
Frederic Blondeel,Ghana,2014,60.0,Belgium,70.0,Forastero,Ghana,105000.0
Frederic Blondeel,Madagascar,2014,65.0,Belgium,70.0,Trinitario,Madagascar,113750.0
French Broad,Matagalpa,2014,68.0,U.S.A.,65.0,Blend,Nicaragua,110500.0
French Broad,"Palo Blanco, Chulucanas",2013,66.0,U.S.A.,70.0,Blend,Peru,115500.0
French Broad,"Palo Blanco, Chulucanas",2012,61.0,U.S.A.,70.0,Blend,Peru,106750.0
French Broad,La Red,2011,65.0,U.S.A.,70.0,Blend,Dominican Republic,113750.0
Fresco,"Markham Valley, #219, LR, MC",2012,69.0,U.S.A.,70.0,Blend,Papua New Guinea,120750.0
Fresco,"Markham Valley, #221, DR, MC",2012,69.0,U.S.A.,70.0,Blend,Papua New Guinea,120750.0
Fresco,"Markham Valley, #220, MR, MC",2012,69.0,U.S.A.,80.0,Trinitario,Papua New Guinea,138000.0
Fresco,"Markham Valley, #222, LR, 0C",2012,69.0,U.S.A.,60.0,Trinitario,Papua New Guinea,103500.0
Fresco,"Carenero Superior, #203, MR, SC",2009,65.0,U.S.A.,70.0,Criollo,Venezuela,113750.0
Friis Holm (Bonnat),La Dalia,2015,60.0,Denmark,60.0,Blend,Nicaragua,90000.0
Fruition,Signature Blend,2011,66.0,U.S.A.,65.0,Trinitario,Costa Rica,107250.0
Georgia Ramon,Akesson P.,2015,65.0,Germany,65.0,Trinitario,Madagascar,105625.0
Glennmade,Bahia,2015,66.0,U.S.A.,60.0,"Trinitario, Forastero",Brazil,99000.0
Grenada Chocolate Co.,Grenada,2009,60.0,Grenada,55.0,Trinitario,Grenada,82500.0
Guido Castagna,Arriba,2009,64.0,Italy,60.0,Forastero (Arriba) ASS,Ecuador,96000.0
Guido Castagna,Ghana,2009,64.0,Italy,60.0,Forastero,Ghana,96000.0
Guido Castagna,Trinidad & Tobago,2009,64.0,Italy,60.0,Blend,"Trinidad, Tobago",96000.0
Guido Castagna,Blend,2009,64.0,Italy,65.0,Blend,"Ven, Trinidad, Ecuador",104000.0
Guittard,Haiti,2013,65.0,U.S.A.,55.0,Blend,Haiti,89375.0
Guittard,Nicaragua,2013,65.0,U.S.A.,55.0,Blend,Nicaragua,89375.0
Guittard,Jamaica,2013,65.0,U.S.A.,65.0,Trinitario,Jamaica,105625.0
Guittard,Ecuador,2013,65.0,U.S.A.,70.0,Blend,Ecuador,113750.0
Guittard,Lever du Soleil,2011,61.0,U.S.A.,65.0,Blend,Other,99125.0
Guittard,Trinidad,2010,65.0,U.S.A.,60.0,Trinitario,Trinidad,97500.0
Guittard,"O'ahu, N. Shore, Waialua E., Kakoleka",2009,55.0,U.S.A.,60.0,Blend,Hawaii,82500.0
Guittard,Machu Pichu,2008,65.0,U.S.A.,60.0,Blend,Peru,97500.0
Guittard,Special Maker Reserve,2008,64.0,U.S.A.,60.0,Blend,Other,96000.0
Guittard,Ocumare,2008,65.0,U.S.A.,70.0,Blend,Venezuela,113750.0
Guittard,Chucuri,2006,65.0,U.S.A.,60.0,Trinitario,Colombia,97500.0
Guittard,Sur del Lago,2006,65.0,U.S.A.,50.0,"Trinitario, Criollo",Venezuela,81250.0
Guittard,"Sambirano, Ambanja",2006,65.0,U.S.A.,70.0,"Criollo, +",Madagascar,113750.0
Guittard,"Los Rios, Quevedo",2006,65.0,U.S.A.,70.0,Forastero (Arriba),Ecuador,113750.0
Guittard,Tsaranta,2006,61.0,U.S.A.,70.0,Blend,Other,106750.0
Guittard,Semisweet,2006,61.0,U.S.A.,60.0,Blend,Other,91500.0
Habitual,Downtown London,2014,65.0,Canada,55.0,Blend,Other,89375.0
Habitual,Sharkey,2014,66.0,Canada,65.0,Blend,Hawaii,107250.0
Hacienda El Castillo,Don Homero- Cerecita Valley,2014,55.0,Ecuador,55.0,Trinitario,Ecuador,75625.0
Harper Macaw,Brazil Blend,2015,67.0,U.S.A.,60.0,Blend,Brazil,100500.0
Heilemann,Peru,2016,64.0,Germany,55.0,Blend,Peru,88000.0
Heirloom Cacao Preservation (Guittard),"Alto Beni, Upper Rio Beni, 2014",2014,67.0,U.S.A.,70.0,"Amazon, ICS",Bolivia,117250.0
Heirloom Cacao Preservation (Guittard),"Wild Beni, Lower Rio Beni, Tranquilidad, 2014",2014,67.0,U.S.A.,60.0,Beniano,Bolivia,100500.0
Heirloom Cacao Preservation (Guittard),"Los Rios, Hacienda Limon, Orecao, 2014",2014,67.0,U.S.A.,75.0,EET,Ecuador,125625.0
Heirloom Cacao Preservation (Guittard),"Maunawili, O'ahu, Agri Research C., 2014",2014,67.0,U.S.A.,75.0,Blend,Hawaii,125625.0
Heirloom Cacao Preservation (Zokoko),"Alto Beni, Upper Rio Beni, 2015",2016,68.0,U.S.A.,75.0,"Amazon, ICS",Bolivia,127500.0
hello cocoa,Uganda,2015,57.0,U.S.A.,55.0,Forastero,Uganda,78375.0
Hogarth,Gran Blanco,2016,66.0,New Zealand,70.0,Criollo,Peru,115500.0
Hoja Verde (Tulicorp),Arriba,2009,58.0,Ecuador,65.0,Forastero (Arriba) ASS,Ecuador,94250.0
Hoja Verde (Tulicorp),Manabi,2009,58.0,Ecuador,70.0,Forastero (Arriba) ASS,Ecuador,101500.0
Hotel Chocolat (Coppeneur),Sambirano,2012,66.0,U.K.,70.0,"Trinitario, Criollo",Madagascar,115500.0
Hotel Chocolat (Coppeneur),"Island Growers, 120hr c.",2011,65.0,U.K.,60.0,Trinitario,St. Lucia,97500.0
Hotel Chocolat (Coppeneur),"Island Growers, 96hr c.",2011,65.0,U.K.,65.0,Trinitario,St. Lucia,105625.0
Indah,India (south),2016,61.0,India,50.0,Blend,India,76250.0
Jordis,Madagascar,2015,63.0,Czech Republic,55.0,Trinitario,Madagascar,86625.0
Kah Kow,"Rizek Cacao, Domin. Rep.",2013,55.0,Domincan Republic,65.0,Blend,Dominican Republic,89375.0
Kah Kow,"Rizek Cacao, Domin. Rep.",2013,62.0,Domincan Republic,65.0,Blend,Dominican Republic,100750.0
Kakao,Peru,2012,64.0,Germany,50.0,Blend,Peru,80000.0
Kakao,Vanuatu,2009,65.0,Germany,75.0,Trinitario,Vanuatu,121875.0
Kiskadee,"La Red, Guanconjeco",2014,60.0,U.S.A.,60.0,Trinitario,Dominican Republic,90000.0
L.A. Burdick (Felchlin),Chuao,2012,68.0,U.S.A.,75.0,Trinitario,Venezuela,127500.0
L.A. Burdick (Felchlin),Madagascar,2009,64.0,U.S.A.,70.0,Trinitario,Madagascar,112000.0
L.A. Burdick (Felchlin),Bolivian,2009,68.0,U.S.A.,60.0,Blend,Bolivia,102000.0
La Maison du Chocolat (Valrhona),Tobago,2013,60.0,France,65.0,Blend,Tobago,97500.0
La Maison du Chocolat (Valrhona),"Acarigua, w/ nibs",2013,56.0,France,65.0,Blend,Ecuador,91000.0
La Maison du Chocolat (Valrhona),Loma Sotavento,2012,66.0,France,70.0,Blend,Dominican Republic,115500.0
La Maison du Chocolat (Valrhona),Grenada,2011,68.0,France,70.0,Trinitario,Grenada,119000.0
La Maison du Chocolat (Valrhona),Akosombo,2009,68.0,France,65.0,Forastero,Ghana,110500.0
La Maison du Chocolat (Valrhona),"Porcelana, Pariguan",2009,69.0,France,70.0,Criollo (Porcelana),Venezuela,120750.0
La Maison du Chocolat (Valrhona),Kuruba,2009,60.0,France,60.0,Blend,Other,90000.0
La Maison du Chocolat (Valrhona),Orinoco,2009,60.0,France,75.0,Blend,Other,112500.0
La Pepa de Oro,Vinces,2011,60.0,Ecuador,65.0,Blend,Ecuador,97500.0
Laia aka Chat-Noir,Trinidad-Tobago,2014,68.0,France,55.0,Blend,Trinidad-Tobago,93500.0
Lillie Belle,Perfect Illusion,2012,65.0,U.S.A.,70.0,Criollo,Peru,113750.0
Lillie Belle,"Bolivia, Wild Thing",2012,68.0,U.S.A.,70.0,Criollo,Bolivia,119000.0
Lillie Belle,La Selva,2012,68.0,U.S.A.,75.0,Blend,Peru,127500.0
Lillie Belle,Wild Thing,2012,68.0,U.S.A.,70.0,Criollo,Bolivia,119000.0
Loiza,Puerto Rico,2013,65.0,Puerto Rico,50.0,Blend,Puerto Rico,81250.0
Lonohana,"Haleiwa E, O'ahu, 2014",2014,65.0,U.S.A.,65.0,Blend,Hawaii,105625.0
Luker,Selva,2010,46.0,Colombia,55.0,Blend,"Colombia, Ecuador",63250.0
Luker,Macondo,2010,60.0,Colombia,60.0,Blend,"Colombia, Ecuador",90000.0
Luker,Misterio,2010,58.0,Colombia,60.0,Blend,"Colombia, Ecuador",87000.0
Luker,Santander,2010,65.0,Colombia,70.0,Blend,Colombia,113750.0
Machu Picchu Trading Co.,Peru,2010,55.0,Peru,45.0,Blend,Peru,61875.0
Madecasse (Cinagra),Madagascar,2008,67.0,Madagascar,70.0,Trinitario,Madagascar,117250.0
Madecasse (Cinagra),Madagascar,2008,63.0,Madagascar,80.0,Trinitario,Madagascar,126000.0
Malagos,"Davao, Mt. Talamo foothills",2013,65.0,Philippines,70.0,Trinitario,Philippines,113750.0
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate w/ nibs",2010,55.0,U.S.A.,70.0,Blend,Hawaii,96250.0
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate",2009,55.0,U.S.A.,55.0,Blend,Hawaii,75625.0
Map Chocolate,"Maranon, 2014",2015,62.0,U.S.A.,70.0,Forastero (Nacional),Peru,108500.0
Map Chocolate,"Tumbes, Dear Mr. Finley, 2014",2015,68.0,U.S.A.,70.0,Criollo,Peru,119000.0
Marou,Ben Tre,2015,68.0,Vietnam,70.0,Trinitario,Vietnam,119000.0
Mars,"Matina 1-6, prototype",2010,65.0,U.S.A.,60.0,Blend,Costa Rica,97500.0
Mars,Ivory Coast,2010,65.0,U.S.A.,60.0,Blend,Ivory Coast,97500.0
Mars,Nigeria,2010,65.0,U.S.A.,65.0,Blend,Nigeria,105625.0
Mars,"Ghana, prototype",2010,65.0,U.S.A.,70.0,Forastero,Ghana,113750.0
Matale,"Somia, 2013",2013,68.0,Australia,80.0,Trinitario,Madagascar,136000.0
Maverick,"Morropon, Norandiono Coop, Piura",2014,63.0,U.S.A.,70.0,Criollo,Peru,110250.0
Michel Cluizel,"Chiapas, Mokaya P.",2012,66.0,France,75.0,Blend,Mexico,123750.0
Michel Cluizel,"Carenero Superior, Concepcion",2007,66.0,France,70.0,Trinitario,Venezuela,115500.0
Michel Cluizel,Vila Gracinda,2007,67.0,France,70.0,Forastero,Sao Tome,117250.0
Michel Cluizel,Carre Amer,2006,60.0,France,40.0,Blend,Other,60000.0
Michel Cluizel,Los Ancones P.,2006,67.0,France,80.0,Blend,Dominican Republic,134000.0
Michel Cluizel,Mangaro P.,2006,65.0,France,80.0,Trinitario,Madagascar,130000.0
Michel Cluizel,Maralumi P.,2006,64.0,France,80.0,Blend,Papua New Guinea,128000.0
Middlebury,Houseblend,2012,65.0,U.S.A.,30.0,Blend,Other,48750.0
Mindo,Ecuador,2010,67.0,U.S.A.,55.0,Blend,Ecuador,92125.0
Mita,Tumaco,2012,65.0,Colombia,50.0,Blend,Colombia,81250.0
Moho,"Umoho R., Toledo District, San Felipe",2010,67.0,U.S.A.,55.0,Trinitario,Belize,92125.0
Montecristi,Manabi,2015,63.0,Ecuador,70.0,Blend,Ecuador,110250.0
Mutari,"Kokoa Kamili, batch 1 SRB",2016,68.0,U.S.A.,55.0,Blend,Tanzania,93500.0
Mutari,"Ambanja, batch 1 SRB",2016,68.0,U.S.A.,55.0,Blend,Madagascar,93500.0
Nahua,"Costa Rica, Oscuro",2013,58.0,Costa Rica,50.0,Blend,Costa Rica,72500.0
Neuhaus (Callebaut),Manickchand Estate,2008,67.0,Belgium,75.0,Trinitario,Trinidad,125625.0
Ocho,"PNG, Devotion",2014,66.0,New Zealand,55.0,Blend,Papua New Guinea,90750.0
Olive and Sinclair,Dark 67,2009,67.0,U.S.A.,55.0,Blend,"Ghana, Domin. Rep",92125.0
Omnom,Madagascar,2014,66.0,Iceland,70.0,Trinitario,Madagascar,115500.0
Original Beans (Felchlin),Papua Kerafat,2014,68.0,Switzerland,55.0,Blend,Papua New Guinea,93500.0
Original Beans (Felchlin),"Alto Beni, Wild Harvest, Itenez R. 24hr c.",2011,66.0,Switzerland,75.0,Blend,Bolivia,123750.0
Original Beans (Felchlin),"Alto Beni, Wild Harvest, Itenez R., 60hr c.",2009,68.0,Switzerland,65.0,Blend,Bolivia,110500.0
Original Hawaiin Chocolate Factory,"Hawai'i, Kona Grand Cru E.",2009,60.0,U.S.A.,60.0,Criollo,Hawaii,90000.0
Original Hawaiin Chocolate Factory,"Hawai'i, Kona Estate Grown",2006,60.0,U.S.A.,60.0,Blend,Hawaii,90000.0
Orquidea,Peru,2012,65.0,Peru,60.0,Blend,Peru,97500.0
Pacari,Esmeraldas,2008,60.0,Ecuador,50.0,Forastero (Arriba),Ecuador,75000.0
Pacari,Manabi,2008,65.0,Ecuador,55.0,Forastero (Arriba),Ecuador,89375.0
Park 75,South America,2014,65.0,U.S.A.,70.0,Blend,South America,113750.0
Pascha,Peru,2013,55.0,Peru,50.0,Blend,Peru,68750.0
Patric,Madagascar,2009,67.0,U.S.A.,70.0,Trinitario,Madagascar,117250.0
Patric,"Piura, Choc. Garage Exclusive",2013,67.0,U.S.A.,80.0,Blend,Peru,134000.0
Paul Young,"Madagascar, w/ shell",2014,64.0,U.K.,55.0,Trinitario,Madagascar,88000.0
Pitch Dark,Tenor,2015,62.0,U.S.A.,50.0,Blend,Nicaragua,77500.0
Q Chocolate,Brazil,2013,55.0,Brazil,55.0,Blend,Brazil,75625.0
Q Chocolate,Brazil,2012,60.0,Brazil,60.0,Blend,Brazil,90000.0
Q Chocolate,Brazil,2012,65.0,Brazil,65.0,Blend,Brazil,105625.0
Republica del Cacao (aka Confecta),El Oro,2007,67.0,Ecuador,70.0,Forastero (Arriba),Ecuador,117250.0
Robert (aka Chocolaterie Robert),Madagascar w/ nibs,2013,68.0,Madagascar,65.0,Trinitario,Madagascar,110500.0
Rococo (Grenada Chocolate Co.),"Gru Grococo, St. Andrews",2012,66.0,U.K.,70.0,Trinitario,Grenada,115500.0
S.A.I.D.,Malgascio,2010,64.0,Italy,70.0,Trinitario,Madagascar,112000.0
Sacred,Twilight,2012,69.0,U.S.A.,65.0,Blend,Central and S. America,112125.0
Santander (Compania Nacional),Colombian Semi Dark,2006,53.0,Colombia,40.0,Forastero (Nacional),Colombia,53000.0
Santander (Compania Nacional),Colombian,2006,65.0,Colombia,60.0,Forastero (Nacional),Colombia,97500.0
Scharffen Berger,Markham Valley,2011,68.0,U.S.A.,75.0,Blend,Papua New Guinea,127500.0
Scharffen Berger,Camahogne,2010,68.0,U.S.A.,70.0,Trinitario,Grenada,119000.0
Scharffen Berger,Amina,2010,65.0,U.S.A.,75.0,"Trinitario, Criollo",Madagascar,121875.0
Scharffen Berger,Tome Acu,2009,68.0,U.S.A.,75.0,Blend,Brazil,127500.0
Scharffen Berger,Asante,2009,65.0,U.S.A.,80.0,Forastero,Ghana,130000.0
Scharffen Berger,Nibby,2007,62.0,U.S.A.,60.0,Blend,Other,93000.0
Scharffen Berger,Kumasi Sambirano,2006,68.0,U.S.A.,40.0,Blend,Ghana & Madagascar,68000.0
Scharffen Berger,Semisweet,2006,62.0,U.S.A.,60.0,Blend,Other,93000.0
Silvio Bessone,Maya Belize,2011,67.0,Italy,60.0,Criollo,Belize,100500.0
Silvio Bessone,"Trintade, Sao Tome",2011,65.0,Italy,65.0,Forastero,Sao Tome,105625.0
Silvio Bessone,"Bahia, Scavina",2011,60.0,Italy,65.0,Trinitario,Brazil,97500.0
Silvio Bessone,"Porcelana, Colombia, Amazonas",2011,68.0,Italy,60.0,"Criollo, Trinitario",Colombia,102000.0
Sirene,"Somia Plantation, 2012",2014,67.0,Canada,75.0,Trinitario,Madagascar,125625.0
"Smooth Chocolator, The",Australia,2016,67.0,Australia,75.0,Blend,Australia,125625.0
"Smooth Chocolator, The",Akesson's Estate,2015,65.0,Australia,65.0,Trinitario,Madagascar,105625.0
"Smooth Chocolator, The",Kokoa Kamili,2015,67.0,Australia,75.0,Blend,Tanzania,125625.0
"Smooth Chocolator, The","Papua New Guinea, triple roast, batch 1",2015,65.0,Australia,70.0,Blend,Papua New Guinea,113750.0
"Smooth Chocolator, The","Maranon, batch 2",2015,67.0,Australia,60.0,Forastero (Nacional),Peru,100500.0
Snake & Butterfly,Ghana,2011,67.0,U.S.A.,30.0,Forastero,Ghana,50250.0
